time,h1,h2,h3,h4,v1,v2,modo,sp1,sp2,Ki,Kd,Kp,Kw
2024-11-07 16:22:10.528225,25.046931013074968,25.046814030862087,3.0299374513968313,3.0193251183776093,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:13.560375,24.847498417475915,24.945820015119256,2.9436841887200527,2.9392053097954465,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:16.530358,25.353277013547643,25.372296213624377,3.281359683081145,3.135781813456578,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:18.550064,25.504806968957404,25.511768825851217,3.3631568039955013,3.1791411259854443,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:20.560267,24.76924499856852,24.98784822462395,2.959296696507179,2.9008670097908147,1.0,0.6075887688025361,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:22.561961,24.846391713869096,24.83804371800306,2.8629911013437894,2.939673106747637,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:25.608785,26.236135670939944,25.691565720776914,3.5005317294288414,3.4529209548501982,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:26.614431,26.72100172983532,26.075728171290773,3.7710822350927624,3.614017629321523,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:28.615710,26.01315311599595,25.583109155441118,3.359681092432273,3.336794158916345,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:29.622379,25.63704874443812,25.322058441190368,3.152642357837626,3.191172817193863,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:31.637103,24.87579454513419,24.79501220323805,2.7572295437188488,2.908892501660209,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:34.641583,25.41734979907403,25.263314211738898,3.1411354474021853,3.126610519604253,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:38.655153,24.87893655347549,24.929388744567895,2.868643106577151,2.914796867911835,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:40.657075,24.89119410560756,24.97465972019391,2.924242602731622,2.931080492303869,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:41.663399,25.367115569406042,25.34804868943919,3.2090995255098087,3.109806689668853,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:43.667280,25.498762943801882,25.47522182042956,3.286662741007875,3.148693396144736,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:44.775823,25.13269751608761,25.21545925236757,3.085437890765912,3.009721861920929,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:46.788498,24.36959368827048,24.67550532443203,2.6899267940144105,2.7326031098028443,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:48.783523,24.44605443390473,24.766144738351038,2.795836901506828,2.78183818256166,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:50.790336,25.35468593171985,25.47539675552757,3.338622941157604,3.125393989800172,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:53.839727,25.168942196094928,25.365559083312238,3.2221385961812876,3.0368136416743283,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:56.866394,24.049148808312506,24.56383633026438,2.6336579938345785,2.629902720223962,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:22:58.872184,24.11182405279315,24.63707490235269,2.730843422126216,2.6766385449059906,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:00.875023,25.057171634623927,25.36672147303408,3.2947780102233453,3.035879088143546,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:03.000593,25.161921666459165,25.462420609823,3.3450911820966187,3.0629987576084123,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:04.995015,24.441010863228904,24.939893815658333,2.946631784773898,2.7928996916885622,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:06.000561,24.07973699728363,24.66556719428563,2.7487403666742103,2.6569078646241926,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:08.008720,24.985060313250546,25.375600541901914,3.297915447912132,3.008254704794425,0.7469843374726892,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:09.012649,25.46842563282685,25.74516041160166,3.580335264410787,3.1912511682966525,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:11.014977,25.385441842307355,25.263596728703337,3.1811251340539917,3.141095172761226,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:13.033839,24.680828978282378,24.76960148182045,2.808807253517885,2.878836291193175,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:16.041913,25.178430099194617,25.197533616534688,3.1620274012953393,3.079983434564996,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:17.050292,25.653355192571166,25.56843552431712,3.4364056347129432,3.253460502167202,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:19.060723,24.937793534184692,25.060272096219904,3.0381344220993496,2.978907720831956,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:21.056700,24.990375776295192,24.54018966370426,2.656623455697547,3.0063794818149385,0.4812111852404044,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:23.060676,25.492241919490745,24.56674200981277,2.6967677771549137,3.203472344601026,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:24.066767,25.518188801902724,24.983512559047984,3.0162068601786483,3.213419248834485,0.0,0.8243720476007965,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:26.071018,24.816223739222202,25.5903499960984,3.467108353155412,2.94394206089496,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:27.097346,24.451068991062566,25.85280648032904,3.6476748200884077,2.8108660472959626,1.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:29.082648,25.397113742168095,25.334765075537828,3.2467044942792214,3.1493671681925695,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:31.088184,25.510905872592172,24.835301100288063,2.859496672396232,3.1874382455338024,0.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:33.134445,24.752497314246046,24.94295509766363,2.954685971292035,2.9093054401253995,1.0,1.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
2024-11-07 16:23:36.113391,25.323734689641817,26.018577133151428,3.75948874764021,3.1169459111344597,0.0,0.0,Automatico,25.0,25.0,0.0,0.0,50.0,0.0
